lang_id,verb_id,tense_id,sing_1,sing_2,sing_3,plural_1,plural_2,plural_3
1,5,9,have got,have got,has got,have got,have got,have got
1,5,10,will have got,will have got,will have got,will have got,will have got,will have got
1,5,11,had got,had got,had got,had got,had got,had got
1,5,12,would have got,would have got,would have got,would have got,would have got,would have got
1,5,13,have been getting,have been getting,has been getting,have been getting,have been getting,have been getting
1,5,14,will have been getting,will have been getting,will have been getting,will have been getting,will have been getting,will have been getting
1,5,15,had been getting,had been getting,had been getting,had been getting,had been getting,had been getting
1,5,16,would have been getting,would have been getting,would have been getting,would have been getting,would have been getting,would have been getting
1,6,1,make,make,makes,make,make,make
1,6,2,will make,will make,will make,will make,will make,will make
1,6,3,made,made,made,made,made,made
1,6,4,would make,would make,would make,would make,would make,would make
1,6,5,am making,are making,is making,are making,are making,are making
1,6,6,will be making,will be making,will be making,will be making,will be making,will be making
1,6,7,was making,were making,was making,were making,were making,were making
1,6,8,would be making,would be making,would be making,would be making,would be making,would be making
1,6,9,have made,have made,has made,have made,have made,have made
1,6,10,will have made,will have made,will have made,will have made,will have made,will have made
1,6,11,had made,had made,had made,had made,had made,had made
1,6,12,would have made,would have made,would have made,would have made,would have made,would have made
1,6,13,have been making,have been making,has been making,have been making,have been making,have been making
1,6,14,will have been making,will have been making,will have been making,will have been making,will have been making,will have been making
1,6,15,had been making,had been making,had been making,had been making,had been making,had been making
1,6,16,would have been making,would have been making,would have been making,would have been making,would have been making,would have been making
1,7,1,go,go,goes,go,go,go
1,7,2,will go,will go,will go,will go,will go,will go
1,7,3,went,went,went,went,went,went
1,7,4,would go,would go,would go,would go,would go,would go
1,7,5,am going,are going,is going,are going,are going,are going
1,7,6,will be going,will be going,will be going,will be going,will be going,will be going
1,7,7,was going,were going,was going,were going,were going,were going
1,7,8,would be going,would be going,would be going,would be going,would be going,would be going
1,7,9,have gone,have gone,has gone,have gone,have gone,have gone
1,7,10,will have gone,will have gone,will have gone,will have gone,will have gone,will have gone
1,7,11,had gone,had gone,had gone,had gone,had gone,had gone
1,7,12,would have gone,would have gone,would have gone,would have gone,would have gone,would have gone
1,7,13,have been going,have been going,has been going,have been going,have been going,have been going
1,7,14,will have been going,will have been going,will have been going,will have been going,will have been going,will have been going
1,7,15,had been going,had been going,had been going,had been going,had been going,had been going
1,7,16,would have been going,would have been going,would have been going,would have been going,would have been going,would have been going
1,8,1,know,know,knows,know,know,know
1,8,2,will know,will know,will know,will know,will know,will know
1,8,3,knew,knew,knew,knew,knew,knew
1,8,4,would know,would know,would know,would know,would know,would know
1,8,5,am knowing,are knowing,is knowing,are knowing,are knowing,are knowing
1,8,6,will be knowing,will be knowing,will be knowing,will be knowing,will be knowing,will be knowing
1,8,7,was knowing,were knowing,was knowing,were knowing,were knowing,were knowing
1,8,8,would be knowing,would be knowing,would be knowing,would be knowing,would be knowing,would be knowing
1,8,9,have known,have known,has known,have known,have known,have known
1,8,10,will have known,will have known,will have known,will have known,will have known,will have known
1,8,11,had known,had known,had known,had known,had known,had known
1,8,12,would have known,would have known,would have known,would have known,would have known,would have known
1,8,13,have been knowing,have been knowing,has been knowing,have been knowing,have been knowing,have been knowing
1,8,14,will have been knowing,will have been knowing,will have been knowing,will have been knowing,will have been knowing,will have been knowing
1,8,15,had been knowing,had been knowing,had been knowing,had been knowing,had been knowing,had been knowing
1,8,16,would have been knowing,would have been knowing,would have been knowing,would have been knowing,would have been knowing,would have been knowing
1,9,1,take,take,takes,take,take,take
1,9,2,will take,will take,will take,will take,will take,will take
1,9,3,took,took,took,took,took,took
1,9,4,would take,would take,would take,would take,would take,would take
1,9,5,am taking,are taking,is taking,are taking,are taking,are taking
1,9,6,will be taking,will be taking,will be taking,will be taking,will be taking,will be taking
1,9,7,was taking,were taking,was taking,were taking,were taking,were taking
1,9,8,would be taking,would be taking,would be taking,would be taking,would be taking,would be taking
1,9,9,have taken,have taken,has taken,have taken,have taken,have taken
1,9,10,will have taken,will have taken,will have taken,will have taken,will have taken,will have taken
1,9,11,had taken,had taken,had taken,had taken,had taken,had taken
1,9,12,would have taken,would have taken,would have taken,would have taken,would have taken,would have taken
1,9,13,have been taking,have been taking,has been taking,have been taking,have been taking,have been taking
1,9,14,will have been taking,will have been taking,will have been taking,will have been taking,will have been taking,will have been taking
1,9,15,had been taking,had been taking,had been taking,had been taking,had been taking,had been taking
1,9,16,would have been taking,would have been taking,would have been taking,would have been taking,would have been taking,would have been taking
1,10,1,see,see,sees,see,see,see
1,10,2,will see,will see,will see,will see,will see,will see
1,10,3,saw,saw,saw,saw,saw,saw
1,10,4,would see,would see,would see,would see,would see,would see
1,10,5,am seeing,are seeing,is seeing,are seeing,are seeing,are seeing
1,10,6,will be seeing,will be seeing,will be seeing,will be seeing,will be seeing,will be seeing
